"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","963","Happy Path: Verify retrieving a specific book by valid ID","Online Bookstore API Automation","Fri Feb 06 10:23:12 UTC 2026","passed","Fri Feb 06 10:23:13 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetBookById"
"","510","Edge Case: Verify 404 for a non-existing book ID","Online Bookstore API Automation","Fri Feb 06 10:23:15 UTC 2026","passed","Fri Feb 06 10:23:16 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetInvalidBook"
"","691","Happy Path: Get all authors and verify format","Online Bookstore API Automation","Fri Feb 06 10:23:19 UTC 2026","passed","Fri Feb 06 10:23:20 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAllAuthors"
"","500","Happy Path: Verify deleting a book by ID","Online Bookstore API Automation","Fri Feb 06 10:23:15 UTC 2026","passed","Fri Feb 06 10:23:15 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteBook"
"","504","Negative: Verify that DELETE is not allowed on base URL","Online Bookstore API Automation","Fri Feb 06 10:23:19 UTC 2026","passed","Fri Feb 06 10:23:19 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteAllBooksNotAllowed"
"","494","Happy Path: Create a new author","Online Bookstore API Automation","Fri Feb 06 10:23:21 UTC 2026","passed","Fri Feb 06 10:23:21 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testCreateAuthor"
"","1626","Performance: Verify that getting all books responds within 2 seconds","Online Bookstore API Automation","Fri Feb 06 10:23:17 UTC 2026","passed","Fri Feb 06 10:23:19 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetAllBooksPerformance"
"","484","Negative: Verify mass deletion is not allowed","Online Bookstore API Automation","Fri Feb 06 10:23:24 UTC 2026","passed","Fri Feb 06 10:23:24 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testDeleteAllAuthorsNotAllowed"
"","478","Edge Case: Verify deleting a non-existing book","Online Bookstore API Automation","Fri Feb 06 10:23:16 UTC 2026","passed","Fri Feb 06 10:23:16 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testDeleteInvalidBook"
"","487","Happy Path: Update an existing author","Online Bookstore API Automation","Fri Feb 06 10:23:21 UTC 2026","passed","Fri Feb 06 10:23:22 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testUpdateAuthor"
"","512","Edge Case: Verify that ID 0 returns 404","Online Bookstore API Automation","Fri Feb 06 10:23:16 UTC 2026","passed","Fri Feb 06 10:23:17 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetBookByZeroId"
"","463","Happy Path: Delete author by ID","Online Bookstore API Automation","Fri Feb 06 10:23:22 UTC 2026","passed","Fri Feb 06 10:23:22 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testDeleteAuthor"
"","4119","Happy Path: Verify that all books can be retrieved","Online Bookstore API Automation","Fri Feb 06 10:23:08 UTC 2026","passed","Fri Feb 06 10:23:12 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testGetAllBooks"
"","510","Happy Path: Get author by valid ID","Online Bookstore API Automation","Fri Feb 06 10:23:20 UTC 2026","passed","Fri Feb 06 10:23:21 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAuthorById"
"","856","Happy Path: Verify successful creation of a new book","Online Bookstore API Automation","Fri Feb 06 10:23:13 UTC 2026","passed","Fri Feb 06 10:23:14 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testCreateBook"
"","501","Happy Path: Verify updating an existing book with full payload","Online Bookstore API Automation","Fri Feb 06 10:23:14 UTC 2026","passed","Fri Feb 06 10:23:15 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testUpdateBook"
"","632","Performance: Verify author API response time","Online Bookstore API Automation","Fri Feb 06 10:23:23 UTC 2026","passed","Fri Feb 06 10:23:24 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testAuthorsPerformance"
"","517","Edge Case: Get author with non-existing ID","Online Bookstore API Automation","Fri Feb 06 10:23:22 UTC 2026","passed","Fri Feb 06 10:23:23 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetInvalidAuthor"
"","481","Edge Case: Verify creating a book with empty title","Online Bookstore API Automation","Fri Feb 06 10:23:17 UTC 2026","passed","Fri Feb 06 10:23:17 UTC 2026","tests.BookTests","Full API Test Suite","tests.BookTests","testCreateBookWithEmptyTitle"
"","493","Edge Case: Verify that ID 0 returns 404","Online Bookstore API Automation","Fri Feb 06 10:23:23 UTC 2026","passed","Fri Feb 06 10:23:23 UTC 2026","tests.AuthorTests","Full API Test Suite","tests.AuthorTests","testGetAuthorByZeroId"
